fecha,entidad_id,entidad_nombre,programa,proyecto,actividad,categoria,descripcion,grupo_1,grupo_2,grupo_3,grupo_4,grupo_5,grupo_6,grupo_7,grupo_8,grupo_9,total,nivel_institucional
2008,351,Prefectura del Departamento de Chuquisaca,11,25,0,DESARROLLO DE LA ELECTRIFICACION,"CONST. INTERCONEX. ELECTRICA SIST. AISL.HUACARETA,MONTEAGUDO",0,0,0,194504,0,0,0,0,0,194504,PD
2008,351,Prefectura del Departamento de Chuquisaca,11,29,0,DESARROLLO DE LA ELECTRIFICACION,"CONST. LINEAS ELEC. MT, BT Y PT CUEVO - HUACAYA",0,0,0,191440,0,0,0,0,0,191440,PD
2008,351,Prefectura del Departamento de Chuquisaca,11,31,0,DESARROLLO DE LA ELECTRIFICACION,"CONST. L. ELÉCTRICAS MT, BT Y  PT S.J. DEL PIRAÍ-R. DEL INGR",0,0,0,2869560,0,0,0,0,0,2869560,PD
2008,351,Prefectura del Departamento de Chuquisaca,11,33,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECTRIFICACIÓN TRÍFASICA MACHARETI-CARANDAYTI,0,0,0,831912,0,0,0,0,0,831912,PD
2008,351,Prefectura del Departamento de Chuquisaca,11,34,0,DESARROLLO DE LA ELECTRIFICACION,ANALISIS AMPL. RED Y DIAG. ELECT. RURAL CHUQUISACA NORTE,0,2000,0,416550,0,0,0,0,0,418550,PD
2008,351,Prefectura del Departamento de Chuquisaca,12,-1,-1,DESARROLLO PRODUCTIVO AGROPECUARIO,NO DECLARADO,1722317,376509,1543811,30761909,0,0,0,0,0,34404546,PD
2008,351,Prefectura del Departamento de Chuquisaca,12,0,1,DESARROLLO PRODUCTIVO AGROPECUARIO,DIRECCIÓN DPTAL. PRODUCTIVO SUPERVISIÓN - COORDINACIÓN,657360,173904,197400,36917,0,0,0,0,0,1065581,PD
2008,351,Prefectura del Departamento de Chuquisaca,12,0,2,DESARROLLO PRODUCTIVO AGROPECUARIO,SERVICIO DEPARTAMENTAL AGROPECUARIO SUPERVISION-COORD.,267299,84200,83100,0,0,0,0,0,0,434599,PD
2008,351,Prefectura del Departamento de Chuquisaca,12,0,80,DESARROLLO PRODUCTIVO AGROPECUARIO,PROGRAMA DEPARTAMENTAL DE EMERGENCIAS,203287,1550935,3734500,400000,0,0,0,0,0,5888722,PD
2008,351,Prefectura del Departamento de Chuquisaca,12,0,90,DESARROLLO PRODUCTIVO AGROPECUARIO,PROGRAMA CENTRO EL SALVADOR,414286,135512,241900,38500,0,0,0,0,0,830198,PD
2008,351,Prefectura del Departamento de Chuquisaca,12,0,93,DESARROLLO PRODUCTIVO AGROPECUARIO,PROGRAMA DE DESARROLLO AGROPECUARIO,428537,444216,693866,45400,0,0,0,0,0,1612019,PD
2008,351,Prefectura del Departamento de Chuquisaca,12,0,94,DESARROLLO PRODUCTIVO AGROPECUARIO,PROGRAMA DE PROMOCIÓN AL DESARROLLO PRODUCTIVO,152361,1058290,176068,90250,0,0,0,0,0,1476969,PD
2008,351,Prefectura del Departamento de Chuquisaca,12,0,95,DESARROLLO PRODUCTIVO AGROPECUARIO,PROGRAMA DE ASISTENCIA AL SECTOR PRODUCTIVO,200314,193796,117200,14000,0,0,0,0,0,525310,PD
2008,351,Prefectura del Departamento de Chuquisaca,12,2,0,DESARROLLO PRODUCTIVO AGROPECUARIO,CONST. SISTEMA DE RIEGO INCAHUASI,272141,0,0,4956000,0,0,0,0,0,5228141,PD
2008,351,Prefectura del Departamento de Chuquisaca,12,3,0,DESARROLLO PRODUCTIVO AGROPECUARIO,CONST. SISTEMA DE RIEGO SAN LUCAS,0,0,0,6150000,0,0,0,0,0,6150000,PD
2008,351,Prefectura del Departamento de Chuquisaca,12,4,0,DESARROLLO PRODUCTIVO AGROPECUARIO,CONST. DE  SISTEMA DE RIEGO EL PERAL,0,0,0,361600,0,0,0,0,0,361600,PD
2008,351,Prefectura del Departamento de Chuquisaca,12,6,0,DESARROLLO PRODUCTIVO AGROPECUARIO,CONST. SISTEMA DE RIEGO SAN JUAN DEL PIRAI,0,0,0,2153799,0,0,0,0,0,2153799,PD
2008,351,Prefectura del Departamento de Chuquisaca,12,7,0,DESARROLLO PRODUCTIVO AGROPECUARIO,CONST. SISTEMA DE RIEGO TIGUIPA,0,0,0,92064,0,0,0,0,0,92064,PD
2008,351,Prefectura del Departamento de Chuquisaca,13,0,70,DESARROLLO DE LA INDUSTRIA DEL TURISMO,PROGRAMA DE PROMOCION AL TURISMO,139509,860216,42730,0,0,0,0,0,0,1042455,PD
2008,351,Prefectura del Departamento de Chuquisaca,13,0,90,DESARROLLO DE LA INDUSTRIA DEL TURISMO,FESTIVAL INTERNACIONAL DE CULTURAS,198292,1052030,60100,18000,0,0,160000,0,0,1488422,PD
2008,351,Prefectura del Departamento de Chuquisaca,13,2,0,DESARROLLO DE LA INDUSTRIA DEL TURISMO,DESAR.RUTA TURISTICA DOÑA JUANA -CAMINOS DE LA LIBERTAD,0,251500,0,0,0,0,0,0,0,251500,PD
2008,351,Prefectura del Departamento de Chuquisaca,13,3,0,DESARROLLO DE LA INDUSTRIA DEL TURISMO,RESTAU.  EDIFICIOS LA GLORIETA Y FLORIDA (C.I.C.C),0,0,0,508000,0,0,0,0,0,508000,PD
2008,351,Prefectura del Departamento de Chuquisaca,13,4,0,DESARROLLO DE LA INDUSTRIA DEL TURISMO,DESAR.RUTA TURISTICA DEL CHE,0,301500,0,0,0,0,0,0,0,301500,PD
2008,351,Prefectura del Departamento de Chuquisaca,13,5,0,DESARROLLO DE LA INDUSTRIA DEL TURISMO,DESAR.RUTA TURISTICA DEL VINO Y LAS HACIENDAS,0,251500,0,0,0,0,0,0,0,251500,PD
2008,351,Prefectura del Departamento de Chuquisaca,13,6,0,DESARROLLO DE LA INDUSTRIA DEL TURISMO,ANALISIS ARQUEOLOGICO EN EL MUNICIPIO DE MOJOCOYA,0,81500,0,0,0,0,0,0,0,81500,PD
2008,351,Prefectura del Departamento de Chuquisaca,13,7,0,DESARROLLO DE LA INDUSTRIA DEL TURISMO,ANALISIS ARQUEOLOGICO EN LOS CINTIS,0,151500,0,0,0,0,0,0,0,151500,PD
2008,351,Prefectura del Departamento de Chuquisaca,13,8,0,DESARROLLO DE LA INDUSTRIA DEL TURISMO,DESAR.ZONA FRANCA TURISCA ARTESANAL,0,81500,0,0,0,0,0,0,0,81500,PD
2008,351,Prefectura del Departamento de Chuquisaca,13,9,0,DESARROLLO DE LA INDUSTRIA DEL TURISMO,ANALISIS VIA FERREA SUCRE - TARABUCO PARA USO TURISTICO,0,161500,0,0,0,0,0,0,0,161500,PD
2008,351,Prefectura del Departamento de Chuquisaca,13,10,0,DESARROLLO DE LA INDUSTRIA DEL TURISMO,ANALISIS DE SEÑALIZACION TURISTICA,0,151500,0,0,0,0,0,0,0,151500,PD
2008,351,Prefectura del Departamento de Chuquisaca,13,11,0,DESARROLLO DE LA INDUSTRIA DEL TURISMO,"PROTEC. DE SITIOS ARQ. EN CAMARGO, VILLA ABECIA Y LAS CARRER",0,75000,0,0,0,0,0,0,0,75000,PD
2008,351,Prefectura del Departamento de Chuquisaca,13,12,0,DESARROLLO DE LA INDUSTRIA DEL TURISMO,PLAN DE DESARROLLO TURISTICO PARA LA MANC. DEL CHACO CHUQUIS,0,56500,0,0,0,0,0,0,0,56500,PD
2008,351,Prefectura del Departamento de Chuquisaca,14,1,0,DESARROLLO DE LA INFRAESTRUCTURA URBANA Y RURAL,CONST. AEROPUERTO INTERNACIONAL YAMPARAEZ,0,0,0,15446000,0,0,0,0,0,15446000,PD
2008,351,Prefectura del Departamento de Chuquisaca,14,2,0,DESARROLLO DE LA INFRAESTRUCTURA URBANA Y RURAL,CONST. CENTRO INTERNAL. CONVENCIONES Y CULTURA  SUCRE.,0,0,0,6572161,0,0,0,0,0,6572161,PD
2008,351,Prefectura del Departamento de Chuquisaca,14,3,0,DESARROLLO DE LA INFRAESTRUCTURA URBANA Y RURAL,CONST. SUBPREFECTURAS PROVINCIALES,0,2250,0,1202250,0,0,0,0,0,1204500,PD
2008,351,Prefectura del Departamento de Chuquisaca,14,5,0,DESARROLLO DE LA INFRAESTRUCTURA URBANA Y RURAL,CONST. ESTADIUM OLÍMPICO PATRIA FASE III,0,0,0,2625000,0,0,0,0,0,2625000,PD
2008,351,Prefectura del Departamento de Chuquisaca,14,9,0,DESARROLLO DE LA INFRAESTRUCTURA URBANA Y RURAL,CONST. PISTAS DE ATLETISMO ESTADIO PATRIA,0,2250,0,80000,0,0,0,0,0,82250,PD
2008,351,Prefectura del Departamento de Chuquisaca,14,10,0,DESARROLLO DE LA INFRAESTRUCTURA URBANA Y RURAL,CONST. CAMPO DEPORTIVO DE TENIS SUCRE,0,2250,0,220000,0,0,0,0,0,222250,PD
2008,351,Prefectura del Departamento de Chuquisaca,14,11,0,DESARROLLO DE LA INFRAESTRUCTURA URBANA Y RURAL,CONST. SUBPREFECTURA DE CAMARGO,0,2250,0,1340640,0,0,0,0,0,1342890,PD
2008,351,Prefectura del Departamento de Chuquisaca,14,12,0,DESARROLLO DE LA INFRAESTRUCTURA URBANA Y RURAL,CONST. CANCHA DE BEISBOL SUCRE,0,2250,0,280000,0,0,0,0,0,282250,PD
2008,351,Prefectura del Departamento de Chuquisaca,14,13,0,DESARROLLO DE LA INFRAESTRUCTURA URBANA Y RURAL,CONST. INFRAESTRUCTURA DE TIRO DEPORTIVO SUCRE,0,2250,0,252480,0,0,0,0,0,254730,PD
2008,351,Prefectura del Departamento de Chuquisaca,15,1,0,DESARROLLO DE SANEAMIENTO BASICO,PROSP. Y EXPL. AGUAS SUBTERRANEAS CHACO-JICA,1192148,1153800,3532951,297132,0,0,0,0,0,6176031,PD
2008,351,Prefectura del Departamento de Chuquisaca,15,2,0,DESARROLLO DE SANEAMIENTO BASICO,REPAR. DEL SISTEMA DE AGUA CAJAMARCA,0,0,0,6365340,0,0,0,0,0,6365340,PD
2008,351,Prefectura del Departamento de Chuquisaca,15,3,0,DESARROLLO DE SANEAMIENTO BASICO,MEJ. DEL CANAL DE ADUCCION RAVELO,0,0,0,1890575,0,0,0,0,0,1890575,PD
2008,351,Prefectura del Departamento de Chuquisaca,15,10,0,DESARROLLO DE SANEAMIENTO BASICO,CONST. ACUEDUCTO MACHARETI,0,0,0,11326812,0,0,0,0,0,11326812,PD
2008,351,Prefectura del Departamento de Chuquisaca,15,11,0,DESARROLLO DE SANEAMIENTO BASICO,CONST. DEFENSIVOS CON GAVIONES SOTOMAYOR,0,0,0,11000,0,0,0,0,0,11000,PD
2008,351,Prefectura del Departamento de Chuquisaca,16,0,1,FORTALECIMIENTO MUNICIPAL Y COMUNITARIO,SERVICIO DEPTAL. FORT.  MUNICIPAL Y COMUNITARIO SUPER- COORD,284128,55665,44139,0,0,0,0,0,0,383932,PD
2008,351,Prefectura del Departamento de Chuquisaca,16,0,80,FORTALECIMIENTO MUNICIPAL Y COMUNITARIO,PROG. DE TRANSP. Y SEGUIMIENTO A PROG.Y PROY DE INV. PUBLICA,152465,772198,11500,32560,0,0,0,0,0,968723,PD
2008,351,Prefectura del Departamento de Chuquisaca,16,2,0,FORTALECIMIENTO MUNICIPAL Y COMUNITARIO,APOYO REGIONAL DESAR. MCPAL. Y COMUNITARIO DPTO. CH.,714525,396400,304016,212800,0,0,0,0,0,1627741,PD
2008,351,Prefectura del Departamento de Chuquisaca,40,0,1,DESARROLLO DE LA SALUD Y NUTRICIÓN,DIRECCIÓN SEDES (SUPERVISIÓN Y COORD),69602521,662284,420874,55000,0,6842,0,5000,0,70752521,PD
2008,351,Prefectura del Departamento de Chuquisaca,40,0,6,DESARROLLO DE LA SALUD Y NUTRICIÓN,INSTITUTO PSIQUIATRICO GREGORIO PACHECO,38661,332188,2000728,52335,0,0,0,0,0,2423912,PD
2008,351,Prefectura del Departamento de Chuquisaca,40,0,7,DESARROLLO DE LA SALUD Y NUTRICIÓN,INSTITUTO PSICOPEDAGOGICO SAN JUAN DE DIOS,0,388000,355125,0,0,0,0,0,0,743125,PD
2008,351,Prefectura del Departamento de Chuquisaca,40,0,90,DESARROLLO DE LA SALUD Y NUTRICIÓN,APOYO AL SERVICIO DPTAL. DE SALUD - SEDES,15662470,0,0,0,0,0,0,0,0,15662470,PD
2008,351,Prefectura del Departamento de Chuquisaca,40,0,91,DESARROLLO DE LA SALUD Y NUTRICIÓN,PROGRAMA DE APOYO A GERENCIAS DE RED,0,93410,131005,878400,0,0,0,0,0,1102815,PD
2008,351,Prefectura del Departamento de Chuquisaca,40,0,92,DESARROLLO DE LA SALUD Y NUTRICIÓN,PROG. VIGILANCIA EPIDEMIOLOGICA Y CAP- SEDES CHUQUISACA,0,1587061,1505558,1538265,0,0,0,0,0,4630884,PD
2008,351,Prefectura del Departamento de Chuquisaca,41,0,1,DESARROLLO DE LA EDUCACIÓN,DIRECCION DEL SEDUCA SUPERVISION-COORDINACION,2544704,447167,284569,123400,0,20000,0,13000,0,3432840,PD
2008,351,Prefectura del Departamento de Chuquisaca,41,0,20,DESARROLLO DE LA EDUCACIÓN,ADMINISTRACION DISTRITAL,3282486,0,0,0,0,0,0,0,0,3282486,PD
2008,351,Prefectura del Departamento de Chuquisaca,41,0,21,DESARROLLO DE LA EDUCACIÓN,ADMINISTRACION EDUCACION INICIAL,1154397,0,0,0,0,0,0,0,0,1154397,PD
2008,351,Prefectura del Departamento de Chuquisaca,41,0,22,DESARROLLO DE LA EDUCACIÓN,DOCENCIA EDUCACION INICIAL,11176660,0,0,0,0,0,0,0,0,11176660,PD
2008,351,Prefectura del Departamento de Chuquisaca,41,0,23,DESARROLLO DE LA EDUCACIÓN,ADMINISTRACION EDUCACION PRIMARIA,4898343,0,0,0,0,0,0,0,0,4898343,PD
2008,351,Prefectura del Departamento de Chuquisaca,41,0,24,DESARROLLO DE LA EDUCACIÓN,DOCENCIA EDUCACION PRIMARIA,183075041,0,0,0,0,0,0,0,0,183075041,PD
2008,351,Prefectura del Departamento de Chuquisaca,41,0,25,DESARROLLO DE LA EDUCACIÓN,ADMINISTRACION EDUCACION SECUNDARIA,1301375,0,0,0,0,0,0,0,0,1301375,PD
